0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[욕설],쳐발린,양학듀오,Slaughter,"YouDo,Pray",사진,,,,,,,,,,
[욕설],진정해,벌아,고의,던짐,,,,,,,,,,,
[욕설],OPGG,쭌짱갓,<<,패드립,및,욕설,유저,박제,[1],사진,,,,,
[욕설],교양있는서울아이,,,,,,,,,,,,,,
[욕설],가수리,소구,고인들먹이면서,패드립,[1],사진,,,,,,,,,
[욕설],욕설,및,패드립,그리고,위안부피해자,거론,,,,,,,,,
[욕설],욕설,+,패작,|,무계념,성인,욕박는,ㅉㄸ;;..,,,,,,,
[욕설],"패드립,무개념",박제,사진,,,,,,,,,,,,
[욕설],115동1803호,패드립,박제,사진,,,,,,,,,,,
[욕설],롤닉,:,"""바텀터짐","미안""",그냥,나가,뒤져라,,,,,,,,
[욕설],딜서포터하면안함<싸이코패스,사진,,,,,,,,,,,,,
[욕설],욕설이라는,표현으로는,부족한,망언..,사진,,,,,,,,,,
[욕설],자크,--,번호유출,(번호사칭이면,닌,내가,직접,이번호,주인한테,전해서,고소,진행한다),,,
[욕설],라파엘,옹박,이분,트롤러,잡범이니,주의하시길바랍니다.,,,,,,,,,
[욕설],"[패드립,모욕,욕설]",Van,고흐,사진,,,,,,,,,,,
[욕설],리그위험인물,<-,욕설,및,정치질로,1:1,박제.,사진,,,,,,,
[욕설],널사랑하지만,_,패드립,새월호드립,일베,박제,사진,,,,,,,,
[욕설],BJ싹박쥐,개트롤러,골드구간,[2],,,,,,,,,,,
[욕설],아이언탐험용사,패드립,박제,사진,,,,,,,,,,,
[욕설],date,200131,패드립,박제,사진,,,,,,,,,,
[욕설],파이크,실수로,벤해서,닷지,해주신분,에게,,,,,,,,,
[욕설],꼬마신참<<<<,악성트롤러,만나면,피하십쇼./,사진,,,,,,,,,,
[욕설],뉴메타로양학하기,<<,자칭,그마사칭에,게임,트롤러,사진,,,,,,,,
[욕설],못한다고하지마라,-,욕설,및,트롤,,,,,,,,,,
[욕설],이야기꽃,볼빤간사춘기지윤,패드리퍼,쓰레기,2두놈,,,,,,,,,,
[욕설],내꿈은,AV,고발사진,,,,,,,,,,,,
[욕설],격전,욕설비매너,stan,",",ciste,(일베충,박제),,,,,,,,
[욕설],'해운대구,보안관'<싸이코,패스,[1],사진,,,,,,,,,,
[욕설],'Sweett',<병신,듀오,,,,,,,,,,,,
[욕설],'단서장',<병신주의,사진,,,,,,,,,,,,
[욕설],고의트롤,고의패작,하소연,좀,하자면,,,,,,,,,,
[욕설],01091906071,탑으로,점수올리고,정글로,패작,,,,,,,,,,
[욕설],목포낙지주먹,<,패드립하는,애미뒤진새끼,,,,,,,,,,,
[욕설],real,sound,asmr,<--,고의트롤,패드립,사진,,,,,,,,
[욕설],칼바람에서,패드립하던,효도르의ㅍㅇㄷ(말자하),하던녀석,보아라~,사진,,,,,,,,,
[욕설],롤,1대1문의,질문입니다.,제발,해결좀..,,,,,,,,,,
[욕설],파티매칭게시판,'펜타알파',다1,사칭,패드리퍼,박제,사진,,,,,,,,
[욕설],고의트롤,2인큐,박제,사진,,,,,,,,,,,
[욕설],"탑원딜은정신병,","정신병원탈주환자,갬곰이",우르프,욕,,,,,,,,,,,
[욕설],[유미,잠수,박제],탑갱이,먼저다,사진,,,,,,,,,
[욕설],쭈쭈살,-,욕설,및,트롤,,,,,,,,,,
[욕설],킹갓아디다스,+,조선시대콩순컴,패드립듀오,신고,사진,,,,,,,,,
[욕설],패드립,박는,유저,브실,구간,[2],,,,,,,,,
[욕설],"[롤/1,2,3단계]","신도환,","으이뚜,","2준섭,","박후민,","킹이유,","명륜진사주유소,","01097210839,","나는야오고짱,","인조가오리,",Opposite,"Krista,",닉네임을,가지고,비디오
[욕설],꼬마페이지,-,벌레,트롤러,,,,,,,,,,,
[욕설],이제우리,한,이불,패드립,박제,[2],사진,,,,,,,,
[욕설],홍삼원골드,패드립,박제,사진,,,,,,,,,,,
[욕설],iililililllilii,패드립,박제,[1],사진,,,,,,,,,,
[욕설],늑대용,패드립,박제,사진,,,,,,,,,,,
[욕설],난리떠는찬진이,패드립,박제,사진,,,,,,,,,,,
[욕설],I,Zerotwo,I,패드립,박제,사진,,,,,,,,,
[욕설],갓나도윤,입털기,꼴픽,늦픽,박제요,,,,,,,,,,
[욕설],서봇에,가야하오,패드립,박제요,,,,,,,,,,,
[욕설],뜨거운원딜전성제,박제,(연에인,얼굴,비하,및,성희롱),사진,,,,,,,
[욕설],처음으로,글써봅니다.,사진,,,,,,,,,,,,
[욕설],나,처음,여기,글써봄,악성,욕설유저,,,,,,,,,
[욕설],우르프에서,게임을즐기는데,비매너유저,박제요!,,,,,,,,,,,
[욕설],운,재,<,정치질,욕설,패드립,,,,,,,,,
[욕설],AttractiveMan,,,,,,,,,,,,,,
[욕설],solnkain,악질트롤러,[1],,,,,,,,,,,,
[욕설],'강희석',일베+패드립+피딩+패작,사진,,,,,,,,,,,,
[욕설],"[롤/1,2,3단계]","서폿가면쌉캐리,","탈리야스오른,","테려단장,",자살장인,"전재혁,",지상계,"꿀탱탱,","Legend이승우,",산들o,비디오,,,,
[욕설],고딩,친구,듀오,패드립&트롤,박제,사진,,,,,,,,,
[욕설],FifteeN,GG,고의트롤러,박제,사진,,,,,,,,,,
[욕설],요우히,패드립,박제,사진,,,,,,,,,,,
[욕설],경고3회시던짐,패드립,박제,사진,,,,,,,,,,,
[욕설],전설의경민,패드립,박제,사진,,,,,,,,,,,
[욕설],GW,once,패드립,박제,사진,,,,,,,,,,
[욕설],세상은,넓고,이상한,사람은,많다.,아이디,:,장사하자,사진,,,,,,
[욕설],비트라올,중독,<<,n번방,드립으로,패드립,칩니다,사진,,,,,,,
[욕설],부캐라면서,똥ㅈㄴ싸고,팀원들한테,욕먹으니까,친추걸어서,패드립한ㅅㄲ,[1],,,,,,,,
